Wavelength (nm),microAmps (mA)
655.9984,0.40303
655.9985,0.4028
655.9986,0.40319
655.9987,0.40299
655.9988,0.40295
655.9989,0.4026
655.999,0.4026
655.9991,0.40268
655.9992,0.40252
655.9993,0.4026
655.9994,0.4028
655.9995,0.40297
655.9996,0.4025
655.9997,0.40276
655.9998,0.40295
655.9999,0.40244
656,0.40276
656.0001,0.40258
656.0002,0.40274
656.0003,0.40293
656.0004,0.40282
656.0005,0.40284
656.0006,0.40256
656.0007,0.40291
656.0008,0.40276
656.0009,0.40272
656.001,0.40236
656.0011,0.40299
656.0012,0.40321
656.0013,0.40268
656.0014,0.40266
656.0015,0.40293
656.0016,0.40272
656.0017,0.40264
656.0018,0.40268
656.0019,0.40258
656.002,0.4026
656.0021,0.40244
656.0022,0.4028
656.0023,0.40274
656.0024,0.40244
656.0025,0.40282
656.0026,0.4026
656.0027,0.40234
656.0028,0.4027
656.0029,0.40266
656.003,0.40248
656.0031,0.40246
656.0032,0.40278
656.0033,0.40323
656.0034,0.4023
656.0035,0.40266
656.0036,0.40236
656.0037,0.40278
656.0038,0.40264
656.0039,0.40284
656.004,0.40219
656.0041,0.4028
656.0042,0.40274
656.0043,0.40256
656.0044,0.40221
656.0045,0.40197
656.0046,0.4024
656.0047,0.40219
656.0048,0.4024
656.0049,0.40219
656.005,0.40219
656.0051,0.4023
656.0052,0.4025
656.0053,0.40221
656.0054,0.40234
656.0055,0.40246
656.0056,0.40232
656.0057,0.4024
656.0058,0.4024
656.0059,0.40217
656.006,0.40225
656.0061,0.40215
656.0062,0.40232
656.0063,0.4023
656.0064,0.40223
656.0065,0.40246
656.0066,0.40242
656.0067,0.40215
656.0068,0.40213
656.0069,0.40209
656.007,0.40234
656.0071,0.40217
656.0072,0.40201
656.0073,0.40197
656.0074,0.40205
656.0075,0.40215
656.0076,0.4023
656.0077,0.40232
656.0078,0.40227
656.0079,0.40197
656.008,0.40207
656.0081,0.40211
656.0082,0.40234
656.0083,0.40203
656.0084,0.40221
656.0085,0.40215
656.0086,0.40209
656.0087,0.40197
656.0088,0.40213
656.0089,0.40189
656.009,0.40207
656.0091,0.40209
656.0092,0.40211
656.0093,0.40205
656.0094,0.40177
656.0095,0.40183
656.0096,0.40191
656.0097,0.40197
656.0098,0.40187
656.0099,0.40197
656.01,0.40191
656.0101,0.40205
656.0102,0.40197
656.0103,0.40217
656.0104,0.40213
656.0105,0.40181
656.0106,0.40209
656.0107,0.40195
656.0108,0.40197
656.0109,0.40203
656.011,0.40189
656.0111,0.40197
656.0112,0.40197
656.0113,0.40189
656.0114,0.40185
656.0115,0.40179
656.0116,0.40181
656.0117,0.40175
656.0118,0.40191
656.0119,0.40195
656.012,0.40177
656.0121,0.40177
656.0122,0.40179
656.0123,0.40199
656.0124,0.40185
656.0125,0.40158
656.0126,0.40152
656.0127,0.40185
656.0128,0.40185
656.0129,0.40207
656.013,0.40195
656.0131,0.40187
656.0132,0.40191
656.0133,0.40183
656.0134,0.40177
656.0135,0.40177
656.0136,0.40179
656.0137,0.40179
656.0138,0.40166
656.0139,0.40162
656.014,0.40156
656.0141,0.40166
656.0142,0.40175
656.0143,0.40156
656.0144,0.4016
656.0145,0.40175
656.0146,0.4015
656.0147,0.40183
656.0148,0.40187
656.0149,0.40166
656.015,0.40156
656.0151,0.4016
656.0152,0.40169
656.0153,0.40166
656.0154,0.40173
656.0155,0.40162
656.0156,0.40185
656.0157,0.40156
656.0158,0.40158
656.0159,0.40181
656.016,0.40162
656.0161,0.40154
656.0162,0.40187
656.0163,0.40175
656.0164,0.40173
656.0165,0.40158
656.0166,0.40154
