wavelength (nm),microAmps (mA)
433.8089,0.40113
433.809,0.40108
433.8091,0.40108
433.8092,0.40107
433.8093,0.40109
433.8094,0.40111
433.8095,0.40105
433.8096,0.40108
433.8097,0.40103
433.8098,0.40111
433.8099,0.40108
433.81,0.40108
433.8101,0.40111
433.8102,0.40105
433.8103,0.4011
433.8104,0.40105
433.8105,0.40103
433.8106,0.40101
433.8107,0.40106
433.8108,0.40106
433.8109,0.40106
433.811,0.40105
433.8111,0.40103
433.8112,0.40102
433.8113,0.40111
433.8114,0.40102
433.8115,0.4011
433.8116,0.40108
433.8117,0.40109
433.8118,0.40111
433.8119,0.40112
433.812,0.40109
433.8121,0.40099
433.8122,0.40105
433.8123,0.40114
433.8124,0.40108
433.8125,0.40109
433.8126,0.40111
433.8127,0.40106
433.8128,0.40111
433.8129,0.40108
433.813,0.40108
433.8131,0.40108
433.8132,0.40103
433.8133,0.40104
433.8134,0.40107
433.8135,0.40108
433.8136,0.40106
433.8137,0.401
433.8138,0.40107
433.8139,0.40102
433.814,0.40106
433.8141,0.40105
433.8142,0.40108
433.8143,0.40101
433.8144,0.40109
433.8145,0.40104
433.8146,0.40109
433.8147,0.40102
433.8148,0.40115
433.8149,0.40105
433.815,0.40102
433.8151,0.40104
433.8152,0.40104
433.8153,0.40105
433.8154,0.40102
433.8155,0.40107
433.8156,0.40103
433.8157,0.40106
433.8158,0.40106
433.8159,0.40112
433.816,0.40101
433.8161,0.40104
433.8162,0.40103
433.8163,0.40102
433.8164,0.40105
433.8165,0.40104
433.8166,0.40107
433.8167,0.40108
433.8168,0.40109
433.8169,0.40103
433.817,0.40102
433.8171,0.4011
433.8172,0.40104
433.8173,0.401
433.8174,0.40108
433.8175,0.40098
433.8176,0.40103
433.8177,0.40106
433.8178,0.40105
433.8179,0.40103
433.818,0.40108
433.8181,0.40103
433.8182,0.40108
433.8183,0.40113
433.8184,0.40102
433.8185,0.40105
433.8186,0.40109
433.8187,0.40102
433.8188,0.401
433.8189,0.40109
433.819,0.40104
433.8191,0.40103
433.8192,0.40104
433.8193,0.40108
433.8194,0.40107
433.8195,0.40107
433.8196,0.40106
433.8197,0.40098
433.8198,0.40105
433.8199,0.40103
433.82,0.401
433.8201,0.40106
433.8202,0.40108
433.8203,0.40102
433.8204,0.40109
433.8205,0.40101
433.8206,0.40108
433.8207,0.40103
433.8208,0.40106
433.8209,0.40102
433.821,0.40106
433.8211,0.4011
433.8212,0.40103
433.8213,0.40111
433.8214,0.40105
433.8215,0.40108
433.8216,0.40108
433.8217,0.40105
