Wavelength (nm),microAmps (mA)
485.9059,0.4014
485.906,0.40149
485.9061,0.40145
485.9062,0.40153
485.9063,0.40159
485.9064,0.40149
485.9065,0.40161
485.9066,0.40142
485.9067,0.4014
485.9068,0.40138
485.9069,0.40175
485.907,0.40144
485.9071,0.40121
485.9072,0.40133
485.9073,0.40136
485.9074,0.40148
485.9075,0.40137
485.9076,0.40144
485.9077,0.40145
485.9078,0.40144
485.9079,0.40139
485.908,0.40149
485.9081,0.40145
485.9082,0.40137
485.9083,0.40154
485.9084,0.40167
485.9085,0.40134
485.9086,0.40139
485.9087,0.40142
485.9088,0.40142
485.9089,0.40161
485.909,0.40123
485.9091,0.40143
485.9092,0.40153
485.9093,0.40138
485.9094,0.40145
485.9095,0.40147
485.9096,0.40148
485.9097,0.40154
485.9098,0.40143
485.9099,0.40138
485.91,0.40132
485.9101,0.40148
485.9102,0.40144
485.9103,0.40133
485.9104,0.40149
485.9105,0.40144
485.9106,0.40151
485.9107,0.40143
485.9108,0.4015
485.9109,0.40138
485.911,0.4016
485.9111,0.40139
485.9112,0.40125
485.9113,0.40143
485.9114,0.40128
485.9115,0.40165
485.9116,0.40153
485.9117,0.40136
485.9118,0.40128
485.9119,0.40144
485.912,0.40143
485.9121,0.40147
485.9122,0.40145
485.9123,0.40132
485.9124,0.4014
485.9125,0.40142
485.9126,0.40162
485.9127,0.40143
485.9128,0.40131
485.9129,0.40153
485.913,0.40155
485.9131,0.40134
485.9132,0.40143
485.9133,0.40148
485.9134,0.40142
485.9135,0.40137
485.9136,0.40149
485.9137,0.40117
485.9138,0.40151
485.9139,0.40148
485.914,0.40142
485.9141,0.40153
485.9142,0.40148
485.9143,0.40145
485.9144,0.40145
485.9145,0.40142
485.9146,0.40159
485.9147,0.4014
485.9148,0.40156
485.9149,0.40149
485.915,0.40134
485.9151,0.4015
485.9152,0.40148
485.9153,0.40137
485.9154,0.40136
485.9155,0.40148
485.9156,0.40158
485.9157,0.40139
485.9158,0.40148
485.9159,0.40144
485.916,0.40148
485.9161,0.40154
485.9162,0.40128
485.9163,0.40153
485.9164,0.4014
485.9165,0.40133
485.9166,0.40137
485.9167,0.40131
485.9168,0.40132
485.9169,0.40158
485.917,0.40156
485.9171,0.40148
485.9172,0.40137
485.9173,0.40129
485.9174,0.40143
485.9175,0.40156
485.9176,0.40142
485.9177,0.40149
485.9178,0.40134
485.9179,0.4014
485.918,0.40149
485.9181,0.4014
485.9182,0.40142
485.9183,0.40142
485.9184,0.40154
485.9185,0.40147
485.9186,0.40153
485.9187,0.40145
485.9188,0.40153
485.9189,0.40155
485.919,0.40136
485.9191,0.4015
485.9192,0.40149
485.9193,0.4014
485.9194,0.40145
485.9195,0.40142
485.9196,0.40128
485.9197,0.40169
485.9198,0.40162
485.9199,0.40143
485.92,0.40147
485.9201,0.40145
485.9202,0.40148
485.9203,0.40136
485.9204,0.4014
485.9205,0.40147
485.9206,0.40136
485.9207,0.40151
485.9208,0.4014
485.9209,0.4014
485.921,0.40138
485.9211,0.40155
485.9212,0.40144
485.9213,0.40149
485.9214,0.40143
485.9215,0.4015
485.9216,0.40143
485.9217,0.40148
485.9218,0.40128
485.9219,0.40144
485.922,0.40143
485.9221,0.40149
485.9222,0.40139
485.9223,0.40134
485.9224,0.40136
485.9225,0.40154
485.9226,0.40136
485.9227,0.40132
485.9228,0.40144
485.9229,0.40145
485.923,0.40158
485.9231,0.40151
485.9232,0.40145
485.9233,0.40138
485.9234,0.40147
485.9235,0.40155
485.9236,0.40154
485.9237,0.40142
485.9238,0.4014
485.9239,0.40147
485.924,0.40144
485.9241,0.4014
485.9242,0.40139
485.9243,0.40144
485.9244,0.40136
485.9245,0.40148
485.9246,0.40148
485.9247,0.40145
485.9248,0.40136
485.9249,0.40133
485.925,0.40139
485.9251,0.40148
485.9252,0.4015
485.9253,0.40148
485.9254,0.40134
485.9255,0.40147
485.9256,0.40148
485.9257,0.40143
485.9258,0.40136
485.9259,0.40142
485.926,0.40144
485.9261,0.40153
485.9262,0.40145
485.9263,0.4015
485.9264,0.40156
485.9265,0.40145
485.9266,0.40142
485.9267,0.4015
485.9268,0.40155
485.9269,0.40138
485.927,0.40153
485.9271,0.40131
485.9272,0.40158
485.9273,0.40143
485.9274,0.40139
485.9275,0.40149
485.9276,0.4015
485.9277,0.40151
485.9278,0.4014
485.9279,0.40138
485.928,0.40132
485.9281,0.40143
485.9282,0.40138
485.9283,0.40138
485.9284,0.4014
485.9285,0.40153
485.9286,0.40143
485.9287,0.40137
485.9288,0.40145
485.9289,0.40149
485.929,0.40143
485.9291,0.4014
485.9292,0.40155
485.9293,0.40137
485.9294,0.40139
485.9295,0.4014
485.9296,0.40145
485.9297,0.40139
485.9298,0.40138
485.9299,0.40143
485.93,0.40137
485.9301,0.40147
485.9302,0.40149
485.9303,0.4015
485.9304,0.40144
485.9305,0.40132
485.9306,0.40138
485.9307,0.40138
485.9308,0.40127
485.9309,0.40139
485.931,0.40153
485.9311,0.40148
485.9312,0.40149
485.9313,0.40148
485.9314,0.40144
485.9315,0.40154
485.9316,0.4014
485.9317,0.40161
485.9318,0.40128
485.9319,0.40151
485.932,0.40142
485.9321,0.40139
485.9322,0.40136
485.9323,0.40153
485.9324,0.40136
485.9325,0.40144
485.9326,0.4015
485.9327,0.40143
485.9328,0.40142
485.9329,0.40126
485.933,0.40142
485.9331,0.40143
485.9332,0.40169
485.9333,0.40151
485.9334,0.40156
485.9335,0.40139
485.9336,0.40145
485.9337,0.40131
485.9338,0.40155
485.9339,0.40148
485.934,0.40158
485.9341,0.40145
485.9342,0.4014
485.9343,0.4014
485.9344,0.40147
485.9345,0.40137
485.9346,0.4016
485.9347,0.40153
485.9348,0.40142
485.9349,0.4015
485.935,0.40132
485.9351,0.40134
485.9352,0.40153
485.9353,0.40151
485.9354,0.40137
485.9355,0.40144
485.9356,0.40147
485.9357,0.40138
485.9358,0.40158
485.9359,0.40148
485.936,0.40155
485.9361,0.40143
485.9362,0.40128
485.9363,0.40156
485.9364,0.4015
485.9365,0.4015
485.9366,0.40143
485.9367,0.40134
485.9368,0.40144
485.9369,0.40144
485.937,0.40144
485.9371,0.40137
485.9372,0.40143
485.9373,0.4014
485.9374,0.4015
485.9375,0.40143
485.9376,0.40143
485.9377,0.40139
485.9378,0.40151
485.9379,0.40143
485.938,0.40149
485.9381,0.40144
485.9382,0.40156
485.9383,0.40132
485.9384,0.4015
485.9385,0.40144
485.9386,0.40134
485.9387,0.40161
485.9388,0.40149
485.9389,0.40148
485.939,0.40139
485.9391,0.40143
485.9392,0.4017
485.9393,0.40147
485.9394,0.40154
485.9395,0.40134
485.9396,0.40158
485.9397,0.40147
485.9398,0.40134
485.9399,0.40134
485.94,0.40137
485.9401,0.40151
485.9402,0.40148
485.9403,0.40155
485.9404,0.40143
485.9405,0.40142
485.9406,0.40142
485.9407,0.40134
485.9408,0.40144
485.9409,0.40144
485.941,0.4015
485.9411,0.40147
485.9412,0.40142
485.9413,0.40143
485.9414,0.40148
485.9415,0.40144
485.9416,0.40149
485.9417,0.40154
485.9418,0.40128
485.9419,0.40155
485.942,0.40153
485.9421,0.40143
485.9422,0.40142
485.9423,0.40144
485.9424,0.40147
485.9425,0.40153
485.9426,0.40151
485.9427,0.40158
485.9428,0.4015
485.9429,0.4014
485.943,0.40145
485.9431,0.40145
485.9432,0.40145
485.9433,0.40137
485.9434,0.40161
485.9435,0.40138
485.9436,0.40147
485.9437,0.4015
485.9438,0.40153
485.9439,0.40159
485.944,0.40153
485.9441,0.40149
485.9442,0.40154
485.9443,0.40149
485.9444,0.40153
485.9445,0.4014
485.9446,0.40138
485.9447,0.40155
485.9448,0.40155
485.9449,0.40149
485.945,0.40148
485.9451,0.40166
485.9452,0.40162
485.9453,0.40143
485.9454,0.40149
485.9455,0.40158
485.9456,0.40128
485.9457,0.40151
485.9458,0.40136
485.9459,0.40155
485.946,0.40145
485.9461,0.40151
485.9462,0.40138
485.9463,0.40136
485.9464,0.40143
485.9465,0.40142
485.9466,0.40159
485.9467,0.40156
485.9468,0.4015
485.9469,0.4016
485.947,0.40166
485.9471,0.40139
485.9472,0.40138
485.9473,0.40144
485.9474,0.40148
485.9475,0.40149
485.9476,0.40155
485.9477,0.40154
485.9478,0.40143
485.9479,0.40153
485.948,0.40153
485.9481,0.40136
485.9482,0.40161
485.9483,0.40142
485.9484,0.40139
485.9485,0.4014
485.9486,0.40147
485.9487,0.40154
485.9488,0.40147
485.9489,0.40149
485.949,0.40148
485.9491,0.40142
485.9492,0.40159
485.9493,0.40151
485.9494,0.4014
485.9495,0.40147
485.9496,0.40161
485.9497,0.40159
485.9498,0.4014
485.9499,0.40158
485.95,0.40149
485.9501,0.40156
485.9502,0.40145
485.9503,0.40147
485.9504,0.40149
485.9505,0.40155
485.9506,0.40148
485.9507,0.40143
485.9508,0.40159
485.9509,0.40164
485.951,0.40149
485.9511,0.4014
485.9512,0.40142
485.9513,0.40149
485.9514,0.40156
485.9515,0.40139
485.9516,0.40151
485.9517,0.40154
485.9518,0.40165
485.9519,0.40153
485.952,0.40148
485.9521,0.40142
485.9522,0.40145
485.9523,0.40151
485.9524,0.40154
485.9525,0.40154
485.9526,0.40156
485.9527,0.40162
485.9528,0.4015
485.9529,0.4014
485.953,0.40147
485.9531,0.40151
485.9532,0.40145
485.9533,0.40148
485.9534,0.40156
485.9535,0.40148
485.9536,0.4016
485.9537,0.40137
485.9538,0.40144
485.9539,0.40149
485.954,0.40138
485.9541,0.40155
485.9542,0.40155
485.9543,0.40151
485.9544,0.40155
485.9545,0.40153
485.9546,0.40149
485.9547,0.40147
485.9548,0.40175
485.9549,0.4015
485.955,0.4016
485.9551,0.40155
485.9552,0.40162
485.9553,0.4016
485.9554,0.4016
485.9555,0.40165
485.9556,0.40153
485.9557,0.40149
485.9558,0.40145
485.9559,0.40147
485.956,0.4016
485.9561,0.40137
485.9562,0.40151
485.9563,0.40153
485.9564,0.40143
485.9565,0.40142
485.9566,0.40154
485.9567,0.40153
485.9568,0.40142
485.9569,0.4015
485.957,0.40154
485.9571,0.40159
485.9572,0.40151
485.9573,0.40147
485.9574,0.40166
485.9575,0.40153
485.9576,0.40139
485.9577,0.40159
485.9578,0.40154
485.9579,0.40149
485.958,0.4016
485.9581,0.40148
485.9582,0.40142
485.9583,0.40162
485.9584,0.40143
485.9585,0.40156
485.9586,0.40167
485.9587,0.40156
