Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
232.0,4.824369577900342,35.339889581464774,78.52294921875,194.5,45.75
237.0,4.331961744989051,32.63210774114823,84.736328125,194.5,45.75
245.0,3.9837481061390103,31.227709992502728,93.17138671875,194.5,45.75
253.0,3.42077715698498,29.99445551488171,96.69921875,194.5,45.75
261.0,2.8716120349219203,29.984744115456348,92.65869140625,194.5,45.75
270.0,2.3101750665557756,31.1921828520381,84.7119140625,194.5,45.75
278.0,1.7456701366138596,33.67639972211545,77.4853515625,194.5,45.75
286.0,1.1873011298234863,37.02567518047377,71.66259765625,194.5,45.75
294.0,0.6304661038209985,40.130422613003375,68.1103515625,194.5,45.75
302.0,0.07976700097005335,41.60074157833829,66.6455078125,194.5,45.75
311.0,5.81378718608658,40.77605531582361,67.98828125,194.5,45.75
319.0,5.264622064023521,38.05887605823014,73.0908203125,194.5,45.75
327.0,4.71238898038469,34.66786776272867,81.50146484375,194.5,45.75
335.0,4.154019973594316,31.85394069120113,91.09619140625,194.5,45.75
343.0,3.5941169860160573,30.239162979236937,96.50390625,194.5,45.75
352.0,3.035747979225684,29.86648717530137,94.34326171875,194.5,45.75
360.0,2.480446934011082,30.69188304775688,87.33642578125,194.5,45.75
367.0,1.920543946432823,32.77852122775993,80.42724609375,194.5,45.75
372.0,1.4296700943094176,35.51823940942079,76.1181640625,194.5,45.75
379.0,1.0753205323078345,37.7161019552118,71.3330078125,194.5,45.75
385.0,0.5921165841238575,40.29809721081216,68.63525390625,194.5,45.75
393.0,0.17640779060684875,41.50275154534494,66.865234375,194.5,45.75
400.0,5.985593034329772,41.27800809956347,67.109375,194.5,45.75
405.0,5.502389086145795,39.39971235752376,68.76953125,194.5,45.75
412.0,5.160311370447297,37.42472278620754,73.61572265625,194.5,45.75
417.0,4.674039460687549,34.44364849702579,78.91357421875,194.5,45.75
425.0,4.322757860261737,32.58886623244555,88.3984375,194.5,45.75
434.0,3.7597869111077067,30.584347825433156,95.61279296875,194.5,45.75
442.0,3.20601984668099,29.852999414690895,95.8935546875,194.5,45.75
450.0,2.6522527822542736,30.30638498115267,89.58251953125,194.75,46.0
458.0,2.0938837754639,31.998359083582567,81.7822265625,194.75,46.0
465.0,1.5278448647340985,34.92283018953766,75.73974609375,194.75,46.0
471.0,1.038504993398579,37.939155228199304,71.8212890625,194.75,46.0
479.0,0.6181942575179135,40.184972457611465,68.56201171875,194.75,46.0
487.0,0.14112623248547898,41.54700988856766,66.62109375,194.75,46.0
495.0,5.870544475238349,40.9645382709511,67.7197265625,194.75,46.0
503.0,5.325981295538946,38.421512543998375,72.431640625,194.75,46.0
511.0,4.769146269536458,35.00556835923759,80.50048828125,194.75,46.0
520.0,4.2107772627460855,32.08869114007525,90.3271484375,194.75,46.0
528.0,3.6493402943799405,30.3420191040857,96.27197265625,194.75,46.0
536.0,3.0894373068016816,29.85026397168486,94.88037109375,194.75,46.0
544.0,2.535670242374965,30.554996162327384,88.1298828125,194.75,46.0
552.0,1.9773012355845916,32.510417559127475,80.01220703125,194.75,46.0
560.0,1.4127963056426756,35.622003968661254,73.7744140625,194.75,46.0
569.0,0.8498253564886452,39.030164479321414,69.24560546875,194.75,46.0
577.0,0.2975922728498144,41.27800809956347,66.85302734375,194.75,46.0
585.0,6.031612457966341,41.376438898600426,67.1826171875,194.75,46.0
593.0,5.480913355115396,39.28679349468748,70.66162109375,194.75,46.0
601.0,4.931748233052336,36.001849958169586,78.25439453125,194.75,46.0
610.0,4.368777283898306,32.80821986546616,87.666015625,194.75,46.0
618.0,3.808874296320047,30.707856572883042,95.27099609375,194.75,46.0
625.0,3.2520392703175593,29.86839138823856,96.46728515625,194.75,46.0
633.0,2.761165418194154,30.12306158227915,91.19384765625,194.75,46.0
641.0,2.205864372979552,31.557261443262732,83.1005859375,194.75,46.0
650.0,1.6413594430376361,34.258048210494245,76.142578125,194.75,46.0
658.0,1.0799224746714915,37.68805272110128,70.78369140625,194.75,46.0
666.0,0.521553467881118,40.58428039150271,67.65869140625,194.75,46.0
674.0,6.2555736529976445,41.623002988696385,66.70654296875,194.75,46.0
682.0,5.706408530934585,40.362825748082045,68.76953125,194.75,46.0
691.0,5.154175447295755,37.38690172919957,74.76318359375,194.75,46.0
699.0,4.597340421293267,34.006210828899285,83.77197265625,194.75,46.0
707.0,4.035903452927122,31.406982975152783,92.53662109375,194.75,46.0
715.0,3.479068426924634,30.063612258574338,96.78466796875,194.75,46.0
723.0,2.9191654393463753,29.93979666542124,92.890625,194.75,46.0
731.0,2.3653983749196588,31.01693196663706,85.43212890625,194.75,46.0
740.0,1.7993594641898571,33.38978410613965,78.01025390625,194.75,46.0
748.0,1.236388515035827,36.719656230120684,72.1142578125,194.75,46.0
756.0,0.6764855274575677,39.91864459746214,68.4521484375,194.75,46.0
764.0,0.1303883669702795,41.55855053340741,66.62109375,194.75,46.0
772.0,5.859806609723149,40.93054134217711,67.79296875,194.75,46.0
781.0,5.31064148766009,38.33173519724195,72.578125,194.75,46.0
789.0,4.758408404021259,34.94118498309637,80.7568359375,194.75,46.0
797.0,4.198505416443,32.036849061527505,90.4736328125,194.75,46.0
805.0,3.6386024288647407,30.32106830562136,96.36962890625,194.75,46.0
813.0,3.078699441286482,29.8526259745379,94.7216796875,194.75,46.0
822.0,2.5280003384355365,30.573269577890628,88.0078125,194.75,46.0
